zip_code,latitude,longitude,city,state,county,active
01068,42.348,-72.0513,Oakham,MA,Worcester County,True
01069,42.1762,-72.3288,Palmer,MA,Hampden County,True
01070,42.5144,-72.9183,Plainfield,MA,Hampshire County,True
01071,42.1471,-72.8403,Russell,MA,Hampden County,True
01072,42.482,-72.4213,Shutesbury,MA,Franklin County,True
01073,42.2247,-72.7194,Southampton,MA,Hampshire County,True
01074,42.3854,-72.0954,South Barre,MA,Worcester County,True
01075,42.2375,-72.5811,South Hadley,MA,Hampshire County,True
01077,42.0511,-72.7706,Southwick,MA,Hampden County,True
01079,42.1929,-72.3296,Thorndike,MA,Hampden County,True
01080,42.1819,-72.3624,Three Rivers,MA,Hampden County,True
01081,42.0627,-72.2046,Wales,MA,Hampden County,True
01082,42.2618,-72.2583,Ware,MA,Hampshire County,True
01083,42.204,-72.1994,Warren,MA,Worcester County,True
01084,42.3903,-72.8709,West Chesterfield,MA,Hampshire County,True
01085,42.1251,-72.7495,Westfield,MA,Hampden County,True
01086,42.1734,-72.848,Westfield,MA,Hampden County,True
01088,42.3906,-72.6469,West Hatfield,MA,Hampshire County,True
01089,42.1151,-72.6411,West Springfield,MA,Hampden County,True
01090,42.1707,-72.6048,West Springfield,MA,Hampden County,True
01092,42.2029,-72.229,West Warren,MA,Worcester County,True
01093,42.4427,-72.6525,Whately,MA,Franklin County,True
01094,42.3582,-72.1408,Wheelwright,MA,Worcester County,True
01095,42.1245,-72.4464,Wilbraham,MA,Hampden County,True
01096,42.4085,-72.778,Williamsburg,MA,Hampshire County,True
01097,42.164,-72.8295,Woronoco,MA,Hampden County,True
01098,42.3902,-72.9472,Worthington,MA,Hampshire County,True
01101,42.1015,-72.5898,Springfield,MA,Hampden County,True
01102,42.1707,-72.6048,Springfield,MA,Hampden County,True
01103,42.1029,-72.5887,Springfield,MA,Hampden County,True
01104,42.1288,-72.5778,Springfield,MA,Hampden County,True
01105,42.0999,-72.5783,Springfield,MA,Hampden County,True
01106,42.0507,-72.5676,Longmeadow,MA,Hampden County,True
01107,42.1179,-72.6065,Springfield,MA,Hampden County,True
01108,42.0853,-72.5584,Springfield,MA,Hampden County,True
01109,42.1145,-72.5543,Springfield,MA,Hampden County,True
01111,42.1707,-72.6048,Springfield,MA,Hampden County,True
01115,42.1029,-72.5916,Springfield,MA,Hampden County,True
01116,42.1707,-72.6048,Longmeadow,MA,Hampden County,True
01118,42.0929,-72.5274,Springfield,MA,Hampden County,True
01119,42.1247,-72.5121,Springfield,MA,Hampden County,True
01128,42.0944,-72.4889,Springfield,MA,Hampden County,True
01129,42.1223,-72.4876,Springfield,MA,Hampden County,True
01133,42.1,-72.59,Springfield,MA,Hampden County,False
01138,42.1707,-72.6048,Springfield,MA,Hampden County,True
01139,42.1707,-72.6048,Springfield,MA,Hampden County,True
01144,42.1018,-72.5915,Springfield,MA,Hampden County,True
01151,42.1532,-72.505,Indian Orchard,MA,Hampden County,True
01152,42.1707,-72.6048,Springfield,MA,Hampden County,True
01195,42.1,-72.58,Springfield,MA,Hampden County,False
01199,42.1199,-72.605,Springfield,MA,Hampden County,True
01201,42.4531,-73.2471,Pittsfield,MA,Berkshire County,True
01202,42.3929,-73.2285,Pittsfield,MA,Berkshire County,True
01203,42.3929,-73.2285,Pittsfield,MA,Berkshire County,True
01220,42.6223,-73.1172,Adams,MA,Berkshire County,True
01222,42.0596,-73.3202,Ashley Falls,MA,Berkshire County,True
01223,42.3594,-73.1203,Becket,MA,Berkshire County,True
01224,42.5126,-73.1929,Berkshire,MA,Berkshire County,True
01225,42.5611,-73.158,Cheshire,MA,Berkshire County,True
01226,42.475,-73.1603,Dalton,MA,Berkshire County,True
01227,42.4737,-73.1662,Dalton,MA,Berkshire County,True
01229,42.2793,-73.3435,Glendale,MA,Berkshire County,True
01230,42.1959,-73.3607,Great Barrington,MA,Berkshire County,True
01235,42.4298,-73.0724,Hinsdale,MA,Berkshire County,True
01236,42.2653,-73.3745,Housatonic,MA,Berkshire County,True
01237,42.5173,-73.2282,Lanesborough,MA,Berkshire County,True
01238,42.299,-73.2317,Lee,MA,Berkshire County,True
01240,42.3642,-73.2713,Lenox,MA,Berkshire County,True
01242,42.3386,-73.2509,Lenox Dale,MA,Berkshire County,True
01243,42.3561,-73.0104,Middlefield,MA,Hampshire County,True
01244,42.1228,-73.254,Mill River,MA,Berkshire County,True
01245,42.1867,-73.2065,Monterey,MA,Berkshire County,True
01247,42.6955,-73.08,North Adams,MA,Berkshire County,True
01252,42.1986,-73.4462,North Egremont,MA,Berkshire County,True
01253,42.1931,-73.0918,Otis,MA,Berkshire County,True
01254,42.3784,-73.3645,Richmond,MA,Berkshire County,True
01255,42.1094,-73.1163,Sandisfield,MA,Berkshire County,True
01256,42.577,-73.0233,Savoy,MA,Berkshire County,True
01257,42.1001,-73.3611,Sheffield,MA,Berkshire County,True
01258,42.1012,-73.4566,South Egremont,MA,Berkshire County,True
01259,42.078,-73.2609,Southfield,MA,Berkshire County,True
01260,42.2779,-73.2773,South Lee,MA,Berkshire County,True
01262,42.301,-73.3223,Stockbridge,MA,Berkshire County,True
01263,42.3929,-73.2285,Stockbridge,MA,Berkshire County,True
01264,42.22,-73.1979,Tyringham,MA,Berkshire County,True
01266,42.3348,-73.3825,West Stockbridge,MA,Berkshire County,True
01267,42.7089,-73.2036,Williamstown,MA,Berkshire County,True
01270,42.515,-73.0412,Windsor,MA,Berkshire County,True
01301,42.6013,-72.6236,Greenfield,MA,Franklin County,True
01302,42.5222,-72.6242,Greenfield,MA,Franklin County,True
01330,42.5232,-72.811,Ashfield,MA,Franklin County,True
01331,42.5959,-72.2267,Athol,MA,Worcester County,True
01337,42.6952,-72.5772,Bernardston,MA,Franklin County,True
01338,42.5736,-72.8213,Buckland,MA,Franklin County,True
01339,42.608,-72.8901,Charlemont,MA,Franklin County,True
01340,42.679,-72.7265,Colrain,MA,Franklin County,True
01341,42.5138,-72.7025,Conway,MA,Franklin County,True
01342,42.5406,-72.6072,Deerfield,MA,Franklin County,True
01343,42.6427,-72.9862,Drury,MA,Berkshire County,True
01344,42.6076,-72.4292,Erving,MA,Franklin County,True
01346,42.6853,-72.8391,Heath,MA,Franklin County,True
01347,42.5566,-72.5181,Lake Pleasant,MA,Franklin County,True
01349,42.582,-72.4926,Millers Falls,MA,Franklin County,True
01350,42.7215,-72.9762,Monroe Bridge,MA,Franklin County,True
01351,42.5429,-72.5328,Montague,MA,Franklin County,True
01354,42.6404,-72.4995,Gill,MA,Franklin County,True
01355,42.5146,-72.3062,New Salem,MA,Franklin County,True
01360,42.6887,-72.451,Northfield,MA,Franklin County,True
01364,42.6129,-72.2924,Orange,MA,Franklin County,True
01366,42.4898,-72.1893,Petersham,MA,Worcester County,True
01367,42.6953,-72.9258,Rowe,MA,Franklin County,True
01368,42.6722,-72.1964,Royalston,MA,Worcester County,True
01370,42.6022,-72.7391,Shelburne Falls,MA,Franklin County,True
01373,42.4756,-72.6153,South Deerfield,MA,Franklin County,True
01375,42.4539,-72.5676,Sunderland,MA,Franklin County,True
01376,42.5954,-72.5557,Turners Falls,MA,Franklin County,True
01378,42.6671,-72.3397,Warwick,MA,Franklin County,True
01379,42.5656,-72.4009,Wendell,MA,Franklin County,True
01380,42.5534,-72.3927,Wendell Depot,MA,Franklin County,True
01420,42.5796,-71.8031,Fitchburg,MA,Worcester County,True
01430,42.6496,-71.9267,Ashburnham,MA,Worcester County,True
01431,42.6745,-71.8174,Ashby,MA,Middlesex County,True
01432,42.5591,-71.5788,Ayer,MA,Middlesex County,True
01434,42.5385,-71.6115,Devens,MA,Worcester County,True
01436,42.5936,-72.0646,Baldwinville,MA,Worcester County,True
01438,42.5631,-72.037,East Templeton,MA,Worcester County,True
01440,42.574,-71.9898,Gardner,MA,Worcester County,True
01441,42.5459,-71.9106,Westminster,MA,Worcester County,True
01450,42.6124,-71.5584,Groton,MA,Middlesex County,True
01451,42.4986,-71.5753,Harvard,MA,Worcester County,True
01452,42.4865,-72.0012,Hubbardston,MA,Worcester County,True
01453,42.5274,-71.7563,Leominster,MA,Worcester County,True
01460,42.5401,-71.4877,Littleton,MA,Middlesex County,True
01462,42.5884,-71.7266,Lunenburg,MA,Worcester County,True
01463,42.6689,-71.5934,Pepperell,MA,Middlesex County,True
01464,42.5734,-71.6483,Shirley,MA,Middlesex County,True
01467,42.4871,-71.6131,Still River,MA,Worcester County,True
01468,42.546,-72.065,Templeton,MA,Worcester County,True
01469,42.6525,-71.6896,Townsend,MA,Middlesex County,True
01470,42.6112,-71.5745,Groton,MA,Middlesex County,True
01471,42.6112,-71.5745,Groton,MA,Middlesex County,True
01472,42.6043,-71.6273,West Groton,MA,Middlesex County,True
01473,42.5483,-71.9096,Westminster,MA,Worcester County,True
01474,42.6678,-71.7522,West Townsend,MA,Middlesex County,True
01475,42.6789,-72.0475,Winchendon,MA,Worcester County,True
01477,42.69,-72.01,Winchendon Springs,MA,Worcester County,False
01501,42.2055,-71.8391,Auburn,MA,Worcester County,True
01503,42.3844,-71.6356,Berlin,MA,Worcester County,True
01504,42.0287,-71.5269,Blackstone,MA,Worcester County,True
01505,42.3377,-71.731,Boylston,MA,Worcester County,True
01506,42.1991,-72.0989,Brookfield,MA,Worcester County,True
01507,42.1379,-71.9664,Charlton,MA,Worcester County,True
01508,42.1459,-71.9884,Charlton City,MA,Worcester County,True
01509,42.1731,-71.9787,Charlton Depot,MA,Worcester County,True
01510,42.4181,-71.6828,Clinton,MA,Worcester County,True
01515,42.2193,-72.0481,East Brookfield,MA,Worcester County,True
01516,42.0528,-71.7509,Douglas,MA,Worcester County,True
01517,42.46,-71.89,East Princeton,MA,Worcester County,False
01518,42.1228,-72.1178,Fiskdale,MA,Worcester County,True
01519,42.2004,-71.6868,Grafton,MA,Worcester County,True
01520,42.342,-71.8414,Holden,MA,Worcester County,True
01521,42.0403,-72.1544,Holland,MA,Hampden County,True
01522,42.3755,-71.8706,Jefferson,MA,Worcester County,True
01523,42.451,-71.6868,Lancaster,MA,Worcester County,True
01524,42.237,-71.9188,Leicester,MA,Worcester County,True
01525,42.0973,-71.6448,Linwood,MA,Worcester County,True
01526,42.0945,-71.7476,Manchaug,MA,Worcester County,True
01527,42.1968,-71.7644,Millbury,MA,Worcester County,True
01529,42.0331,-71.5798,Millville,MA,Worcester County,True
01531,42.3198,-72.1306,New Braintree,MA,Worcester County,True
01532,42.3182,-71.6464,Northborough,MA,Worcester County,True
01534,42.1494,-71.6564,Northbridge,MA,Worcester County,True
01535,42.2665,-72.0821,North Brookfield,MA,Worcester County,True
01536,42.2297,-71.7037,North Grafton,MA,Worcester County,True
01537,42.1655,-71.886,North Oxford,MA,Worcester County,True
01538,42.0876,-71.6412,North Uxbridge,MA,Worcester County,True
01540,42.1129,-71.8687,Oxford,MA,Worcester County,True
01541,42.4508,-71.8762,Princeton,MA,Worcester County,True
01542,42.1997,-71.9069,Rochdale,MA,Worcester County,True
01543,42.3762,-71.949,Rutland,MA,Worcester County,True
01545,42.2848,-71.7205,Shrewsbury,MA,Worcester County,True
01546,42.3648,-71.8969,Shrewsbury,MA,Worcester County,True
01550,42.075,-72.0353,Southbridge,MA,Worcester County,True
01560,42.176,-71.6927,South Grafton,MA,Worcester County,True
01561,42.4435,-71.6861,South Lancaster,MA,Worcester County,True
01562,42.2441,-71.9906,Spencer,MA,Worcester County,True
01564,42.4354,-71.7752,Sterling,MA,Worcester County,True
01566,42.1126,-72.0842,Sturbridge,MA,Worcester County,True
01568,42.1756,-71.6032,Upton,MA,Worcester County,True
01569,42.0744,-71.6329,Uxbridge,MA,Worcester County,True
01570,42.0521,-71.8486,Webster,MA,Worcester County,True
01571,42.0489,-71.8932,Dudley,MA,Worcester County,True
01580,42.26,-71.61,Westborough,MA,Worcester County,False
01581,42.2679,-71.6176,Westborough,MA,Worcester County,True
01582,42.26,-71.61,Westborough,MA,Worcester County,False
01583,42.3584,-71.7838,West Boylston,MA,Worcester County,True
01585,42.2441,-72.1511,West Brookfield,MA,Worcester County,True
01586,42.1712,-71.8037,West Millbury,MA,Worcester County,True
01588,42.1153,-71.6644,Whitinsville,MA,Worcester County,True
01590,42.1266,-71.7552,Sutton,MA,Worcester County,True
01601,42.2626,-71.8023,Worcester,MA,Worcester County,True
01602,42.2703,-71.8417,Worcester,MA,Worcester County,True
01603,42.245,-71.838,Worcester,MA,Worcester County,True
01604,42.2541,-71.7746,Worcester,MA,Worcester County,True
01605,42.2894,-71.7888,Worcester,MA,Worcester County,True
01606,42.311,-71.7958,Worcester,MA,Worcester County,True
01607,42.2303,-71.7938,Worcester,MA,Worcester County,True
01608,42.2624,-71.8003,Worcester,MA,Worcester County,True
